mpp_er,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.0,1.0,0.5153846153846153,0.2824427480916031,0.14040889957907396,0.27781435154707046,422,1.0,0.05859117840684661,89,0.4623287671232877,443,0.2916392363396972,1519
0.05,1.0,0.5153846153846153,0.2824427480916031,0.14040889957907396,0.27781435154707046,422,1.0,0.05859117840684661,89,0.4623287671232877,443,0.2916392363396972,1519
0.1,1.0,0.5153846153846153,0.2824427480916031,0.14040889957907396,0.27781435154707046,422,1.0,0.05859117840684661,89,0.4623287671232877,443,0.2916392363396972,1519
0.15,1.0,0.5153846153846153,0.2824427480916031,0.14040889957907396,0.27781435154707046,422,1.0,0.05859117840684661,89,0.4623287671232877,443,0.2916392363396972,1519
0.2,1.0,0.5153846153846153,0.2824427480916031,0.14040889957907396,0.27781435154707046,422,1.0,0.05859117840684661,89,0.4623287671232877,443,0.2916392363396972,1519
0.25,1.0,0.5153846153846153,0.2824427480916031,0.14040889957907396,0.27781435154707046,422,1.0,0.05859117840684661,89,0.4623287671232877,443,0.2916392363396972,1519
0.3,1.0,0.4846153846153846,0.25190839694656486,0.12086590499098016,0.32149200710479575,362,1.0,0.07904085257548846,89,0.4383561643835616,382,0.3392539964476021,1126
0.35,1.0,0.46153846153846156,0.2366412213740458,0.10523150932050511,0.36565420560747663,313,1.0,0.10397196261682243,89,0.4246575342465753,333,0.38901869158878505,856
0.4,0.9830508474576272,0.45384615384615384,0.22137404580152673,0.09320505111244738,0.4192073170731707,275,1.0,0.13567073170731708,89,0.4143835616438356,291,0.44359756097560976,656
0.45,0.9661016949152542,0.43846153846153846,0.20610687022900764,0.08448586891160553,0.47701149425287354,249,1.0,0.17049808429118773,89,0.4006849315068493,265,0.5076628352490421,522
0.5,0.940677966101695,0.4307692307692308,0.19083969465648856,0.07486470234515935,0.5288461538461539,220,0.9888888888888889,0.21153846153846154,88,0.3904109589041096,232,0.5576923076923077,416
0.55,0.923728813559322,0.3923076923076923,0.16030534351145037,0.06434155141310884,0.5757575757575758,190,0.9888888888888889,0.26666666666666666,88,0.363013698630137,202,0.6121212121212121,330
0.6,0.8983050847457628,0.38461538461538464,0.13740458015267176,0.05682501503307276,0.6439393939393939,170,0.9888888888888889,0.3333333333333333,88,0.3493150684931507,182,0.6893939393939394,264
0.65,0.847457627118644,0.38461538461538464,0.1297709923664122,0.04960914010823812,0.6728110599078341,146,0.9444444444444444,0.3870967741935484,84,0.3321917808219178,155,0.7142857142857143,217
0.7,0.7966101694915254,0.36153846153846153,0.11450381679389313,0.04329524954900782,0.7426900584795322,127,0.9,0.4678362573099415,80,0.3082191780821918,134,0.783625730994152,171
0.8,0.652542372881356,0.3230769230769231,0.09923664122137404,0.03006614552014432,0.8269230769230769,86,0.7777777777777778,0.6634615384615384,69,0.2602739726027397,92,0.8846153846153846,104
0.9,0.4915254237288136,0.25384615384615383,0.07633587786259542,0.019242333132892364,0.859375,55,0.6111111111111112,0.859375,55,0.19863013698630136,61,0.953125,64
0.95,0.3305084745762712,0.17692307692307693,0.061068702290076333,0.01232711966325917,0.9230769230769231,36,0.4222222222222222,0.9743589743589743,38,0.13356164383561644,39,1.0,39
