mpp_er,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.0,0.95,0.5283018867924528,0.3227176220806794,0.9634146341463414,0.05077120822622108,79,0.35563380281690143,211,0.13560411311053985,1556
0.05,0.95,0.5283018867924528,0.3227176220806794,0.9634146341463414,0.05077120822622108,79,0.35563380281690143,211,0.13560411311053985,1556
0.1,0.95,0.5283018867924528,0.3227176220806794,0.9634146341463414,0.05077120822622108,79,0.35563380281690143,211,0.13560411311053985,1556
0.15,0.95,0.5283018867924528,0.3227176220806794,0.9634146341463414,0.05077120822622108,79,0.35563380281690143,211,0.13560411311053985,1556
0.2,0.95,0.5283018867924528,0.3227176220806794,0.9634146341463414,0.05077120822622108,79,0.35563380281690143,211,0.13560411311053985,1556
0.25,0.95,0.5283018867924528,0.3227176220806794,0.9634146341463414,0.05077120822622108,79,0.35563380281690143,211,0.13560411311053985,1556
0.3,0.95,0.5094339622641509,0.2908704883227176,0.9634146341463414,0.07149321266968325,79,0.3257042253521127,194,0.1755656108597285,1105
0.35,0.94,0.4811320754716981,0.2632696390658174,0.9634146341463414,0.09705159705159705,79,0.301056338028169,179,0.2199017199017199,814
0.4,0.93,0.49056603773584906,0.2505307855626327,0.9634146341463414,0.12866449511400652,79,0.2904929577464789,173,0.28175895765472314,614
0.45,0.91,0.4716981132075472,0.22505307855626328,0.9390243902439024,0.16594827586206898,77,0.2640845070422535,158,0.34051724137931033,464
0.5,0.89,0.4528301886792453,0.21231422505307856,0.926829268292683,0.20320855614973263,76,0.2517605633802817,151,0.4037433155080214,374
0.55,0.88,0.42452830188679247,0.19532908704883228,0.926829268292683,0.2508250825082508,76,0.2323943661971831,139,0.45874587458745875,303
0.6,0.87,0.42452830188679247,0.16772823779193205,0.9146341463414634,0.3232758620689655,75,0.20950704225352113,125,0.5387931034482759,232
0.65,0.84,0.39622641509433965,0.1337579617834395,0.8902439024390244,0.42441860465116277,73,0.176056338028169,108,0.627906976744186,172
0.7,0.82,0.37735849056603776,0.12314225053078556,0.8658536585365854,0.4896551724137931,71,0.1637323943661972,101,0.696551724137931,145
0.8,0.7,0.330188679245283,0.08280254777070063,0.7439024390243902,0.648936170212766,61,0.12323943661971831,77,0.8191489361702128,94
0.81,0.66,0.32075471698113206,0.07855626326963906,0.7195121951219512,0.6629213483146067,59,0.11795774647887323,72,0.8089887640449438,89
0.9,0.52,0.27358490566037735,0.06581740976645435,0.573170731707317,0.8103448275862069,47,0.09154929577464789,55,0.9482758620689655,58
0.95,0.34,0.18867924528301888,0.04246284501061571,0.3780487804878049,0.8857142857142857,31,0.05457746478873239,34,0.9714285714285714,35
