mpp,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.0,1.0,0.6166666666666667,0.2824427480916031,0.15928369462770972,0.20717131474103587,156,1.0,0.0650730411686587,49,0.4207920792079208,174,0.23107569721115537,753
0.1,1.0,0.6166666666666667,0.2824427480916031,0.15928369462770972,0.20717131474103587,156,1.0,0.0650730411686587,49,0.4207920792079208,174,0.23107569721115537,753
0.2,1.0,0.6166666666666667,0.2824427480916031,0.15928369462770972,0.20717131474103587,156,1.0,0.0650730411686587,49,0.4207920792079208,174,0.23107569721115537,753
0.3,1.0,0.6166666666666667,0.2748091603053435,0.15174363807728558,0.21764705882352942,148,1.0,0.07205882352941176,49,0.4158415841584158,166,0.24411764705882352,680
0.4,0.9833333333333333,0.5333333333333333,0.24427480916030533,0.12441093308199812,0.27586206896551724,120,1.0,0.11264367816091954,49,0.3811881188118812,135,0.3103448275862069,435
0.5,0.9666666666666667,0.5166666666666667,0.22137404580152673,0.10838831291234684,0.34448160535117056,103,1.0,0.16387959866220736,49,0.3613861386138614,117,0.391304347826087,299
0.6,0.9333333333333333,0.5,0.183206106870229,0.09236569274269557,0.44329896907216493,86,0.98,0.24742268041237114,48,0.3316831683168317,97,0.5,194
0.7,0.9166666666666666,0.45,0.1450381679389313,0.07728557964184732,0.5211267605633803,74,0.98,0.3380281690140845,48,0.297029702970297,85,0.5985915492957746,142
0.8,0.8166666666666667,0.43333333333333335,0.11450381679389313,0.0640904806786051,0.5648148148148148,61,0.9,0.4074074074074074,44,0.25742574257425743,69,0.6388888888888888,108
0.85,0.7833333333333333,0.43333333333333335,0.11450381679389313,0.061262959472196045,0.6170212765957447,58,0.88,0.4574468085106383,43,0.2524752475247525,64,0.6808510638297872,94
0.86,0.7833333333333333,0.43333333333333335,0.11450381679389313,0.061262959472196045,0.651685393258427,58,0.88,0.48314606741573035,43,0.2524752475247525,64,0.7191011235955056,89
0.865,0.7666666666666667,0.43333333333333335,0.11450381679389313,0.061262959472196045,0.6590909090909091,58,0.86,0.4772727272727273,42,0.24752475247524752,63,0.7159090909090909,88
0.868,0.7666666666666667,0.43333333333333335,0.11450381679389313,0.061262959472196045,0.6590909090909091,58,0.86,0.4772727272727273,42,0.24752475247524752,63,0.7159090909090909,88
0.869,0.7666666666666667,0.43333333333333335,0.11450381679389313,0.061262959472196045,0.6590909090909091,58,0.86,0.4772727272727273,42,0.24752475247524752,63,0.7159090909090909,88
0.8695,0.75,0.43333333333333335,0.11450381679389313,0.060320452403393024,0.6551724137931034,57,0.84,0.47126436781609193,41,0.24257425742574257,62,0.7126436781609196,87
0.8699,0.75,0.43333333333333335,0.11450381679389313,0.060320452403393024,0.6551724137931034,57,0.84,0.47126436781609193,41,0.24257425742574257,62,0.7126436781609196,87
0.87,0.75,0.43333333333333335,0.11450381679389313,0.060320452403393024,0.6551724137931034,57,0.84,0.47126436781609193,41,0.24257425742574257,62,0.7126436781609196,87
0.88,0.7333333333333333,0.4166666666666667,0.11450381679389313,0.057492931196983975,0.675,54,0.82,0.5,40,0.2376237623762376,59,0.7375,80
0.9,0.7333333333333333,0.4,0.11450381679389313,0.0527803958529689,0.7,49,0.82,0.5714285714285714,40,0.23267326732673269,54,0.7714285714285715,70
0.95,0.6833333333333333,0.36666666666666664,0.10687022900763359,0.04429783223374175,0.7222222222222222,39,0.76,0.6851851851851852,37,0.21287128712871287,44,0.8148148148148148,54
1.0,0.43333333333333335,0.21666666666666667,0.06870229007633588,0.02639019792648445,0.7272727272727273,24,0.5,0.7575757575757576,25,0.12871287128712872,27,0.8181818181818182,33
