mpp,PSZ2,MCXC,ACT,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.0,0.9310344827586207,0.5294117647058824,0.3445121951219512,0.9433962264150944,0.06544502617801047,50,0.3629242819843342,138,0.1806282722513089,764
0.1,0.9310344827586207,0.5294117647058824,0.3445121951219512,0.9433962264150944,0.06544502617801047,50,0.3629242819843342,138,0.1806282722513089,764
0.2,0.9310344827586207,0.5294117647058824,0.3445121951219512,0.9433962264150944,0.06544502617801047,50,0.3629242819843342,138,0.1806282722513089,764
0.3,0.9310344827586207,0.5294117647058824,0.3323170731707317,0.9433962264150944,0.07776049766718507,50,0.3524804177545692,134,0.208398133748056,643
0.4,0.9137931034482759,0.5147058823529411,0.2896341463414634,0.9433962264150944,0.11933174224343675,50,0.3133159268929504,119,0.2840095465393795,419
0.5,0.9137931034482759,0.5147058823529411,0.25609756097560976,0.9433962264150944,0.1773049645390071,50,0.2845953002610966,108,0.3829787234042553,282
0.6,0.8793103448275862,0.4852941176470588,0.2225609756097561,0.9056603773584906,0.23529411764705882,48,0.2506527415143603,96,0.47058823529411764,204
0.7,0.8620689655172413,0.4411764705882353,0.18292682926829268,0.9056603773584906,0.35294117647058826,48,0.20887728459530025,78,0.5735294117647058,136
0.8,0.8275862068965517,0.39705882352941174,0.1402439024390244,0.8679245283018868,0.4946236559139785,46,0.16449086161879894,64,0.6881720430107527,93
0.85,0.8103448275862069,0.38235294117647056,0.13719512195121952,0.8490566037735849,0.5555555555555556,45,0.1566579634464752,61,0.7530864197530864,81
0.86,0.8103448275862069,0.38235294117647056,0.13414634146341464,0.8490566037735849,0.5769230769230769,45,0.15404699738903394,60,0.7692307692307693,78
0.865,0.7931034482758621,0.38235294117647056,0.13109756097560976,0.8490566037735849,0.5921052631578947,45,0.1514360313315927,59,0.7763157894736842,76
0.868,0.7931034482758621,0.38235294117647056,0.13109756097560976,0.8490566037735849,0.6081081081081081,45,0.1514360313315927,59,0.7972972972972973,74
0.869,0.7931034482758621,0.38235294117647056,0.13109756097560976,0.8490566037735849,0.6081081081081081,45,0.1514360313315927,59,0.7972972972972973,74
0.8695,0.7931034482758621,0.38235294117647056,0.13109756097560976,0.8490566037735849,0.625,45,0.1514360313315927,59,0.8194444444444444,72
0.8699,0.7931034482758621,0.38235294117647056,0.13109756097560976,0.8490566037735849,0.625,45,0.1514360313315927,59,0.8194444444444444,72
0.87,0.7931034482758621,0.38235294117647056,0.13109756097560976,0.8490566037735849,0.625,45,0.1514360313315927,59,0.8194444444444444,72
0.88,0.7758620689655172,0.36764705882352944,0.125,0.8301886792452831,0.6470588235294118,44,0.14360313315926893,56,0.8235294117647058,68
0.9,0.7413793103448276,0.36764705882352944,0.11585365853658537,0.7924528301886793,0.6774193548387096,42,0.13315926892950392,52,0.8387096774193549,62
0.95,0.6724137931034483,0.3382352941176471,0.10060975609756098,0.7358490566037735,0.8297872340425532,39,0.11488250652741515,44,0.9361702127659575,47
1.0,0.5344827586206896,0.2647058823529412,0.07926829268292683,0.5849056603773585,1.0,31,0.08093994778067885,31,1.0,31
