mpp,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.0,0.9797687861271677,0.4722222222222222,0.3016970458830924,0.14208969935929028,0.21720019903798307,2619,0.9941291585127201,0.04204677392602422,507,0.38656774697383833,2823,0.23411842759993365,12058
0.1,0.9797687861271677,0.4722222222222222,0.3016970458830924,0.14208969935929028,0.21720019903798307,2619,0.9941291585127201,0.04204677392602422,507,0.38656774697383833,2823,0.23411842759993365,12058
0.2,0.9797687861271677,0.4722222222222222,0.3016970458830924,0.14208969935929028,0.21720019903798307,2619,0.9941291585127201,0.04204677392602422,507,0.38656774697383833,2823,0.23411842759993365,12058
0.3,0.9783236994219653,0.46,0.2891263356379635,0.13242976835879744,0.2307108285090633,2431,0.9941291585127201,0.04811616209547309,507,0.3752440452948067,2626,0.24921704469962988,10537
0.4,0.9710982658959537,0.43333333333333335,0.25518541797611566,0.10606209955643174,0.2879307772639117,1930,0.9941291585127201,0.07563777413098613,507,0.34673955486138225,2099,0.3131433686409071,6703
0.5,0.9436416184971098,0.41,0.22375864236329351,0.08536224741251848,0.35830999066293184,1535,0.9843444227005871,0.11718020541549953,502,0.31862553689964856,1674,0.3907563025210084,4284
0.6,0.9161849710982659,0.38333333333333336,0.18856065367693275,0.06904879250862493,0.44283121597096187,1220,0.974559686888454,0.18039927404718692,497,0.28660679422100743,1327,0.48166969147005445,2755
0.7,0.884393063583815,0.36444444444444446,0.16907605279698304,0.05889600788565796,0.5220253164556962,1031,0.9549902152641878,0.24658227848101266,487,0.26630222569308865,1124,0.5691139240506329,1975
0.8,0.8453757225433526,0.3422222222222222,0.1508485229415462,0.04992607195662888,0.5854152599594868,867,0.9256360078277887,0.3187035786630655,472,0.24404529480671613,947,0.6394328156650911,1481
0.85,0.8135838150289018,0.3322222222222222,0.13890634820867379,0.04539181862986693,0.6267942583732058,786,0.8962818003913894,0.36443381180223283,457,0.22881686841077703,853,0.6802232854864434,1254
0.86,0.8049132947976878,0.3288888888888889,0.13639220615964803,0.043617545588960076,0.64,752,0.8904109589041096,0.38638297872340427,454,0.22569308863725107,815,0.6936170212765957,1175
0.865,0.7991329479768786,0.3277777777777778,0.1345065996228787,0.04263183834401183,0.643859649122807,734,0.8845401174168297,0.3956140350877193,451,0.22374072627879735,796,0.6982456140350877,1140
0.868,0.7933526011560693,0.3277777777777778,0.13136392206159647,0.04199112863479547,0.645218945487042,722,0.8825831702544031,0.40214477211796246,450,0.22139789144865288,782,0.6988382484361036,1119
0.869,0.7933526011560693,0.3277777777777778,0.13073538654934003,0.04184327254805323,0.6471647164716472,719,0.8825831702544031,0.40504050405040504,450,0.22100741897696213,779,0.7011701170117012,1111
0.8695,0.7904624277456648,0.3277777777777778,0.13010685103708358,0.041744701823558404,0.6494565217391305,717,0.8806262230919765,0.4067028985507246,449,0.22022647403358064,777,0.7038043478260869,1104
0.8699,0.7904624277456648,0.32666666666666666,0.13010685103708358,0.04169541646131099,0.6491387126019945,716,0.8806262230919765,0.4070716228467815,449,0.2198360015618899,776,0.7035358114233907,1103
0.87,0.7904624277456648,0.32666666666666666,0.13010685103708358,0.04169541646131099,0.6491387126019945,716,0.8806262230919765,0.4070716228467815,449,0.2198360015618899,776,0.7035358114233907,1103
0.88,0.7760115606936416,0.31777777777777777,0.1257071024512885,0.040019714144898966,0.6653734238603298,686,0.87279843444227,0.43161978661493694,445,0.21358844201483795,741,0.7187196896217265,1031
0.9,0.75,0.31,0.11879321181646763,0.037506160670280925,0.7059471365638766,641,0.8571428571428571,0.4812775330396476,437,0.20499804763764154,685,0.7544052863436124,908
0.95,0.6473988439306358,0.2833333333333333,0.09365179132620993,0.029866929521931988,0.7786377708978328,503,0.7847358121330724,0.6191950464396285,400,0.1745411948457634,529,0.8188854489164087,646
1.0,0.48121387283236994,0.22444444444444445,0.06976744186046512,0.021192705766387383,0.8251748251748252,354,0.6046966731898239,0.7202797202797203,309,0.12924638812963687,365,0.8508158508158508,429
