mpp,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.31299254881379696,0.9075144508670521,0.37333333333333335,0.1910747957259585,0.06983735830458354,0.4018058690744921,1246,0.9569471624266145,0.15736859077716867,488,0.20073710073710074,1369,0.4414704933892293,3101
0.35649336585991825,0.903179190751445,0.3688888888888889,0.18478944060339408,0.06594381468703794,0.4283101682516459,1171,0.9549902152641878,0.1781272860277981,487,0.19606879606879607,1289,0.47147037307973666,2734
0.4096423580931183,0.8930635838150289,0.36777777777777776,0.17976115650534255,0.06352883193691473,0.4598450876477782,1128,0.9510763209393346,0.19771708112515288,485,0.1918918918918919,1239,0.5050958010599266,2453
0.4443050207513254,0.8858381502890174,0.36333333333333334,0.17724701445631677,0.061310990635781173,0.4929641398093509,1086,0.9452054794520548,0.21879255560599184,482,0.1886977886977887,1193,0.5415342714480255,2203
0.4876749103076242,0.8713872832369942,0.35777777777777775,0.17096165933375235,0.05899457861015278,0.5249873801110551,1040,0.9373776908023483,0.24129227662796568,478,0.1837837837837838,1137,0.5739525492175669,1981
0.5241968471795828,0.8641618497109826,0.35444444444444445,0.16467630421118792,0.05598817151306062,0.5563739376770538,982,0.9315068493150684,0.26912181303116145,475,0.17764127764127763,1072,0.6073654390934844,1765
0.5605134897690243,0.8540462427745664,0.34555555555555556,0.1583909490886235,0.05283390832922622,0.5828607435412728,925,0.9275929549902152,0.2980466288594833,473,0.17223587223587222,1013,0.6383112791430372,1587
0.6065145087499619,0.8453757225433526,0.3422222222222222,0.15461973601508486,0.05032035485460818,0.6115760111576011,877,0.923679060665362,0.3284518828451883,471,0.16855036855036856,960,0.6694560669456067,1434
0.6623525420503876,0.8367052023121387,0.33444444444444443,0.147705845380264,0.04810251355347462,0.648062015503876,836,0.9158512720156555,0.362015503875969,467,0.1624078624078624,914,0.7085271317829457,1290
0.7097693743669714,0.8164739884393064,0.32666666666666666,0.14142049025769957,0.04519467718087728,0.6888694127957932,786,0.9021526418786693,0.40315512708150747,460,0.15552825552825553,856,0.7502191060473269,1141
0.7631530802544688,0.8005780346820809,0.3211111111111111,0.13387806411062225,0.04218827008378512,0.7070805043646945,729,0.8904109589041096,0.44034917555771097,454,0.14914004914004914,793,0.7691561590688651,1031
0.8271784277872449,0.7774566473988439,0.3088888888888889,0.12822124450031427,0.04011828486939379,0.7371794871794872,690,0.8747553816046967,0.47649572649572647,446,0.14226044226044227,745,0.7959401709401709,936
0.8671567425462425,0.7427745664739884,0.30333333333333334,0.1213073538654934,0.03652045342533267,0.7757125154894672,626,0.8473581213307241,0.5353159851301115,432,0.13415233415233416,668,0.8277571251548946,807
0.8975700740247573,0.7052023121387283,0.2922222222222222,0.11187932118164676,0.033612617052735334,0.8159771754636234,572,0.8199608610567515,0.5962910128388017,418,0.12432432432432433,605,0.8630527817403709,701
0.9276292167374928,0.6575144508670521,0.2833333333333333,0.10119421747328725,0.03035978314440611,0.8659966499162479,517,0.7886497064579256,0.6733668341708543,402,0.11621621621621622,541,0.9061976549413735,597
0.9571997108166814,0.5809248554913294,0.25333333333333335,0.08233815210559396,0.025036964021685558,0.906183368869936,425,0.7142857142857143,0.7761194029850746,364,0.09852579852579853,441,0.9402985074626866,469
0.986529221281272,0.49277456647398843,0.22111111111111112,0.071024512884978,0.020650566781665845,0.9532967032967034,347,0.6125244618395304,0.8598901098901099,313,0.08304668304668304,358,0.9835164835164835,364
1.0,0.3179190751445087,0.1622222222222222,0.0458830923947203,0.013060620995564317,0.9775784753363229,218,0.41487279843444225,0.9506726457399103,212,0.05331695331695332,220,0.9865470852017937,223
