epoch,planck_z,MCXC,eRosita,ACT,Abell,precision,all
1,0.66,0.31666666666666665,0.66,0.09923664122137404,0.1,0.1423948220064725,309
2,0.84,0.36666666666666664,0.84,0.13740458015267176,0.15,0.25728155339805825,206
3,1.0,0.45,1.0,0.16030534351145037,0.19166666666666668,0.2226148409893993,283
4,1.0,0.4166666666666667,1.0,0.16030534351145037,0.2,0.18005540166204986,361
5,1.0,0.4166666666666667,1.0,0.183206106870229,0.20833333333333334,0.20294117647058824,340
6,0.96,0.43333333333333335,0.96,0.17557251908396945,0.20833333333333334,0.19938650306748465,326
7,0.96,0.45,0.96,0.21374045801526717,0.24166666666666667,0.16666666666666666,462
8,0.96,0.4166666666666667,0.96,0.16030534351145037,0.225,0.18005540166204986,361
9,0.94,0.45,0.94,0.183206106870229,0.25,0.18324607329842932,382
10,0.94,0.43333333333333335,0.94,0.1984732824427481,0.25,0.17892156862745098,408
11,0.94,0.4166666666666667,0.94,0.17557251908396945,0.25,0.1875,368
12,0.96,0.45,0.96,0.20610687022900764,0.25,0.17011494252873563,435
13,0.94,0.45,0.94,0.20610687022900764,0.25833333333333336,0.16591928251121077,446
14,0.96,0.45,0.96,0.22900763358778625,0.2833333333333333,0.16842105263157894,475
15,0.94,0.43333333333333335,0.94,0.21374045801526717,0.26666666666666666,0.1728110599078341,434
16,0.96,0.4666666666666667,0.96,0.24427480916030533,0.26666666666666666,0.16907216494845362,485
17,0.94,0.43333333333333335,0.94,0.22137404580152673,0.275,0.17035398230088494,452
18,0.94,0.4666666666666667,0.94,0.22900763358778625,0.25833333333333336,0.16326530612244897,490
19,0.96,0.45,0.96,0.24427480916030533,0.25833333333333336,0.16122448979591836,490
20,0.94,0.45,0.94,0.25190839694656486,0.275,0.1670061099796334,491
21,0.94,0.45,0.94,0.24427480916030533,0.30833333333333335,0.16865079365079366,504
22,0.94,0.4166666666666667,0.94,0.22900763358778625,0.25833333333333336,0.16483516483516483,455
23,0.94,0.43333333333333335,0.94,0.25190839694656486,0.275,0.17381974248927037,466
24,0.98,0.48333333333333334,0.98,0.2595419847328244,0.2916666666666667,0.15232974910394265,558
25,0.94,0.4166666666666667,0.94,0.22900763358778625,0.25833333333333336,0.16204690831556504,469
26,0.98,0.48333333333333334,0.98,0.2595419847328244,0.2833333333333333,0.16310679611650486,515
27,0.98,0.48333333333333334,0.98,0.25190839694656486,0.2833333333333333,0.16942148760330578,484
28,0.94,0.43333333333333335,0.94,0.26717557251908397,0.275,0.16837782340862423,487
29,0.94,0.45,0.94,0.22900763358778625,0.2833333333333333,0.1523809523809524,525
30,0.98,0.48333333333333334,0.98,0.26717557251908397,0.2916666666666667,0.16569200779727095,513
31,0.96,0.43333333333333335,0.96,0.26717557251908397,0.26666666666666666,0.15300546448087432,549
32,0.98,0.48333333333333334,0.98,0.26717557251908397,0.3,0.17842323651452283,482
33,0.96,0.4,0.96,0.24427480916030533,0.3,0.15708812260536398,522
34,0.98,0.4666666666666667,0.98,0.2900763358778626,0.2833333333333333,0.1561938958707361,557
35,0.96,0.4166666666666667,0.96,0.2595419847328244,0.25833333333333336,0.15904572564612326,503
36,0.98,0.4666666666666667,0.98,0.25190839694656486,0.275,0.16875,480
37,0.96,0.45,0.96,0.25190839694656486,0.2833333333333333,0.1771058315334773,463
38,0.98,0.4666666666666667,0.98,0.2595419847328244,0.2833333333333333,0.1627450980392157,510
39,0.96,0.4666666666666667,0.96,0.24427480916030533,0.25833333333333336,0.19801980198019803,404
40,0.98,0.45,0.98,0.2366412213740458,0.26666666666666666,0.17035398230088494,452
41,0.98,0.45,0.98,0.26717557251908397,0.2833333333333333,0.1732776617954071,479
42,0.98,0.48333333333333334,0.98,0.2595419847328244,0.26666666666666666,0.17547568710359407,473
43,0.98,0.4666666666666667,0.98,0.2595419847328244,0.2916666666666667,0.1724137931034483,493
44,0.94,0.4,0.94,0.22900763358778625,0.275,0.17488789237668162,446
45,0.98,0.4666666666666667,0.98,0.2595419847328244,0.2833333333333333,0.168,500
46,0.96,0.43333333333333335,0.96,0.24427480916030533,0.2916666666666667,0.1659919028340081,494
47,0.96,0.48333333333333334,0.96,0.2366412213740458,0.275,0.17802197802197803,455
48,0.98,0.45,0.98,0.2595419847328244,0.2833333333333333,0.19806763285024154,414
49,0.96,0.4,0.96,0.25190839694656486,0.275,0.18181818181818182,451
50,0.98,0.4666666666666667,0.98,0.25190839694656486,0.3,0.18518518518518517,459
