mpp,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.1,1.0,0.6166666666666667,0.2824427480916031,0.15928369462770972,0.20717131474103587,156,1.0,0.0650730411686587,49,0.35986159169550175,177,0.2350597609561753,753
0.2,1.0,0.6166666666666667,0.2824427480916031,0.15928369462770972,0.20717131474103587,156,1.0,0.0650730411686587,49,0.35986159169550175,177,0.2350597609561753,753
0.3,1.0,0.6166666666666667,0.2748091603053435,0.15174363807728558,0.21764705882352942,148,1.0,0.07205882352941176,49,0.356401384083045,169,0.2485294117647059,680
0.4,0.9833333333333333,0.5333333333333333,0.24427480916030533,0.12441093308199812,0.27586206896551724,120,1.0,0.11264367816091954,49,0.3217993079584775,136,0.31264367816091954,435
0.5,0.9666666666666667,0.5166666666666667,0.22137404580152673,0.10838831291234684,0.34448160535117056,103,1.0,0.16387959866220736,49,0.30103806228373703,118,0.39464882943143814,299
0.6,0.9333333333333333,0.5,0.183206106870229,0.09236569274269557,0.44329896907216493,86,0.98,0.24742268041237114,48,0.2664359861591695,98,0.5051546391752577,194
0.7,0.9166666666666666,0.45,0.1450381679389313,0.07728557964184732,0.5211267605633803,74,0.98,0.3380281690140845,48,0.23529411764705882,86,0.6056338028169014,142
0.8,0.8166666666666667,0.43333333333333335,0.11450381679389313,0.0640904806786051,0.5648148148148148,61,0.9,0.4074074074074074,44,0.1972318339100346,69,0.6388888888888888,108
0.9,0.7333333333333333,0.4,0.11450381679389313,0.0527803958529689,0.7,49,0.82,0.5714285714285714,40,0.17301038062283736,54,0.7714285714285715,70
0.95,0.6833333333333333,0.36666666666666664,0.10687022900763359,0.04429783223374175,0.7222222222222222,39,0.76,0.6851851851851852,37,0.15570934256055363,44,0.8148148148148148,54
1.0,0.43333333333333335,0.21666666666666667,0.06870229007633588,0.02639019792648445,0.7272727272727273,24,0.5,0.7575757575757576,25,0.09688581314878893,27,0.8181818181818182,33
