mpp,PSZ2,MCXC,ACT,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.1,0.7858439201451906,0.459552495697074,0.2903456495828367,0.14213898472153771,0.10693441084037386,2620,0.8775137111517367,0.03910044487980083,958,0.27794529399095413,4339,0.17709481245663442,24501
0.2,0.7858439201451906,0.459552495697074,0.2903456495828367,0.14213898472153771,0.10693441084037386,2620,0.8775137111517367,0.03910044487980083,958,0.27794529399095413,4339,0.17709481245663442,24501
0.3,0.7834240774349668,0.45266781411359724,0.2800953516090584,0.13247905372104485,0.11278056019291412,2432,0.8775137111517367,0.044425895010202186,958,0.2701916864096489,4101,0.19017807456872565,21564
0.4,0.7767695099818511,0.42512908777969016,0.2469606674612634,0.10606209955643174,0.14125741052477495,1930,0.8775137111517367,0.0701163726853546,958,0.2386388111135042,3390,0.24811534802020055,13663
0.5,0.7555958862673926,0.4004589787722318,0.21501787842669845,0.08536224741251848,0.1751283513976041,1535,0.8720292504570384,0.10861380490587565,952,0.2101012276545337,2784,0.3176269252709641,8765
0.6,0.7332123411978222,0.37464142283419394,0.18212157330154946,0.06904879250862493,0.21619705830232147,1220,0.8619744058500914,0.1667552720184299,941,0.18285591212578076,2286,0.405103668261563,5643
0.7,0.7102238354506957,0.35456110154905335,0.15756853396901072,0.05889600788565796,0.2533792086507741,1031,0.8491773308957953,0.22782010321946425,927,0.16336420417833297,1965,0.48291963627426887,4069
0.8,0.6830006049606776,0.3333333333333333,0.13778307508939214,0.04992607195662888,0.2913306451612903,867,0.8263254113345521,0.3030913978494624,902,0.14516476416110274,1689,0.5675403225806451,2976
0.9,0.6079854809437386,0.2971887550200803,0.10417163289630513,0.037506160670280925,0.3474254742547426,641,0.7550274223034735,0.44715447154471544,825,0.11511953478354513,1265,0.6856368563685636,1845
0.95,0.5257108287961283,0.26792885829030405,0.08390941597139452,0.029866929521931988,0.37819548872180453,503,0.6846435100548446,0.562406015037594,748,0.09616627180702132,1003,0.7541353383458647,1330
1.0,0.39806412583182094,0.2139988525530694,0.06197854588796186,0.021192705766387383,0.3885839736553238,354,0.5374771480804388,0.6454445664105378,588,0.07032091320267068,705,0.7738748627881449,911
