RA,DEC,z
1.8929,16.5116,0.1249
2.1125,-19.6384,0.0
2.3163,4.0282,0.0
2.3418,6.7782,0.0
2.5728,33.0948,0.0
2.6192,17.6948,0.0
2.9237,32.4114,0.1073
3.038,-11.1885,0.0
3.0929,9.4614,0.0
3.2142,-5.9886,0.0
3.1865,-16.4386,0.0
3.3387,-7.6053,0.0
3.4103,-19.5053,0.0
3.8081,-23.8887,0.064
3.8074,-26.0221,0.121
4.1929,6.7444,0.0838
4.2436,8.7944,0.0
4.2647,-2.7889,0.0
4.7133,-6.1891,0.0
4.9063,-22.6224,0.0
5.1283,28.6274,0.0948
5.1792,-25.7059,0.1432
5.4402,-0.8894,0.1052
5.6267,23.2939,0.1338
5.7655,-0.1562,0.0
5.8356,36.8437,0.0
6.2048,-20.7064,0.0
6.2947,8.1269,0.0
6.7403,38.5599,0.0
6.6839,-12.19,0.0
6.7786,22.6266,0.1596
6.7356,-9.1067,0.0
6.7795,-19.5067,0.0
6.8107,-8.8067,0.0
6.853,-21.6734,0.0
6.9083,-12.7901,0.0
6.9846,-10.5235,0.0
7.0987,13.9264,0.0
7.084,-11.3902,0.0
7.1503,16.3931,0.0
7.1952,7.8431,0.275
7.1511,-23.6402,0.1087
7.2262,17.5764,0.1114
7.3979,12.0263,0.0559
7.458,-12.2904,0.0
7.5576,-12.8738,0.15
7.6496,-24.1572,0.0
7.7986,12.5427,0.0
7.8582,-11.424,0.0
7.8506,-22.224,0.0
7.8995,-23.6573,0.0
7.9576,-12.1907,0.0
8.1605,-7.5575,0.0
8.4353,26.7423,0.0
8.495,6.3256,0.0
8.4602,-7.791,0.0
8.4844,-8.9077,0.0
8.5109,-6.7578,0.0
8.614,30.2755,0.0
8.7391,30.0254,0.0
8.6982,-23.1912,0.0
8.8309,20.392,0.0
8.9646,49.6919,0.0
9.1302,18.9084,0.0
9.2305,19.075,0.0
9.1617,-5.1749,0.0
9.2556,19.2583,0.0
9.2475,9.1417,0.0
9.4051,18.3416,0.0
9.3349,-7.425,0.0
9.4406,29.5915,0.0724
9.6366,45.7247,0.0
9.573,9.4248,0.0
9.7219,-22.3086,0.0
9.9587,21.2578,0.0626
9.9461,6.7745,0.0416
10.1424,29.5243,0.0719
10.1394,26.741,0.0
10.1561,18.141,0.0927
10.0938,-24.6756,0.0
10.2602,22.2742,0.0
10.3385,25.4075,0.0
10.3527,14.0408,0.0
10.4597,21.4074,0.103
10.4075,-9.3425,0.0518
10.6206,-21.7927,0.061
10.7568,-9.7928,0.0
10.7159,-26.0428,0.1086
10.7821,-9.4262,0.0
10.8425,2.1737,0.0
10.806,-10.6262,0.0
10.9348,20.657,0.0
10.9234,-18.4597,0.0
11.3134,-2.3267,0.0
11.4647,-0.8602,0.1115
11.6103,39.5063,0.1344
11.4675,-23.1601,0.0
11.6109,20.4897,0.105
11.698,-17.6437,0.0
11.8131,-2.5105,0.0
11.8896,-0.9106,0.0
12.1669,1.3725,0.0632
12.3096,-5.8443,0.0
12.4421,24.5222,0.0822
12.3857,-4.7277,0.0
12.6033,-11.6779,0.0
12.5699,-19.2446,0.0
12.7586,-6.5448,0.0
13.1157,22.2215,0.0
13.1972,6.1214,0.0
13.2101,-5.0119,0.0
13.4146,-0.7955,0.0
13.3854,-4.6121,0.0
13.4154,-21.6788,0.0566
13.998,26.3205,0.1971
13.9662,0.6372,0.0665
14.0038,-10.0295,0.0535
13.9329,-26.4127,0.0
14.089,-1.2629,0.044
14.2707,-16.4131,0.0
14.3822,-7.0133,0.1048
14.3571,-26.2799,0.0
14.5979,-14.3968,0.0
14.854,42.3695,0.0
15.0335,14.2693,0.188
14.9477,-14.2139,0.0
14.9848,-23.464,0.0
15.1241,-12.9642,0.0
15.2529,-9.9643,0.0
15.3903,-0.1478,0.0
15.5462,-14.7813,0.0
15.7532,27.0184,0.0
15.661,-21.7982,0.0604
15.7622,-2.5316,0.0699
15.8095,-22.5817,0.0
16.0257,25.068,0.1569
16.127,25.7345,0.0
16.3371,43.1009,0.0
16.3469,36.3842,0.0
16.1317,-23.9654,0.152
16.4051,-24.5991,0.23
16.5418,0.9507,0.0
16.679,26.2338,0.0
16.5857,-20.8661,0.0
16.6871,-2.4495,0.0
16.8747,-11.2498,0.0
17.0435,2.1666,0.0438
16.9967,-13.1833,0.0
17.3427,43.5995,0.0
17.3095,13.1663,0.0596
17.2181,-15.4169,0.0526
17.4609,13.9827,0.0
17.423,5.2328,0.0
17.742,17.6656,0.0658
17.5772,-24.8174,0.0
17.946,33.4487,0.0
17.769,-14.4011,0.0
17.941,16.882,0.0645
17.9926,-15.1014,0.0
18.2142,15.5149,0.0447
18.7074,37.4142,0.0
18.5448,2.8811,0.0
18.6557,24.7309,0.0
18.5847,-3.7523,0.0
18.8469,32.5973,0.0
